compound_id,smiles,formula,molecular_weight,n_heavy_atoms,n_chiral_centers
C00001,[H]O[H],H2O,18.010564684,1,0
C00002,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,C10H16N5O13P3,506.9957454619998,31,6
C00003,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,C21H28N7O14P2+,664.1163982560901,44,10
C00004,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C21H29N7O14P2,665.1247718680002,44,10
C00005,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C21H30N7O17P3,745.0911023900003,48,10
C00006,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,C21H29N7O17P3+,744.0827287780902,48,10
C00007,O=O,O2,31.98982924,2,0
C00008,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,C10H15N5O10P2,427.02941493999987,27,5
C00009,O=P(O)(O)O,H3O4P,97.976895206,5,0
C00010,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,C21H36N7O16P3S,767.1152089620001,48,7
C00011,O=C=O,CO2,43.98982924,3,0
C00012,*C(N)C(=O)NC(*)C(=O)O,C4H6*2N2O3,130.037842052,9,2
C00013,O=P(O)(O)OP(=O)(O)O,H4O7P2,177.94322572800002,9,0
C00014,[H]N([H])[H],H3N,17.026549096,1,0
C00015,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C9H14N2O12P2,404.0021971479999,25,5
C00016,Cc1cc2c(cc1C)n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1nc(=O)[nH]c(=O)c-1n2,C27H33N9O15P2,785.1571346159999,53,9
C00017,*C(N)C(=O)NC(*)C(=O)O,C4H6*2N2O3,130.037842052,9,2
C00018,Cc1c(O)c(C=O)c(COP(=O)(O)O)cn1,C8H10NO6P,247.02457367,16,0
C00019,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1O,C15H22N6O5S,398.137238804,27,6
C00020,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,C10H14N5O7P,347.0630844179999,23,4
C00021,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,C14H20N6O5S,384.1215887399999,26,5
C00022,CC(=O)C(=O)O,C3H4O3,88.016043988,6,0
C00023,[Fe],Fe,55.9349375,1,0
C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1OP(=O)(O)O,C23H38N7O17P3S,809.1257736459999,51,7
C00025,N[C@@H](CCC(=O)O)C(=O)O,C5H9NO4,147.053157768,10,1
C00026,O=C(O)CCC(=O)C(=O)O,C5H6O5,146.021523292,10,0
C00027,OO,H2O2,34.005479304,2,0
C00028,*,*,0.0,0,0
C00029,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C15H24N2O17P2,566.0550205679997,36,11
C00030,[H]*[H],H2*,2.015650064,0,0
C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,C6H12O6,180.063388104,12,5
C00032,C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4/C=C5\N=C(/C=c6/c(CCC(=O)O)c(C)/c(=C/C1=N2)n6[Fe]n43)C(CCC(=O)O)=C5C,C34H32FeN4O4,616.177293004,43,0
C00033,CC(=O)O,C2H4O2,60.021129368,4,0
C00034,[Mn],Mn,54.9380451,1,0
C00035,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C10H15N5O11P2,443.0243295599999,28,5
C00036,O=C(O)CC(=O)C(=O)O,C4H4O5,132.005873228,9,0
C00037,NCC(=O)O,C2H5NO2,75.0320284,5,0
C00038,[Zn+2],Zn+2,63.92804504018,1,0
C00039,*C1C[C@H](OP(=O)(O)OC[C@H]2OC(*)C[C@@H]2OP(=O)(O)OC[C@H]2OC(*)C[C@@H]2O)[C@@H](CO)O1,C15H25*3O13P2,475.0770391199998,30,11
C00040,*C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1OP(=O)(O)O,C22H35*N7O17P3S,794.1022985499998,50,7
C00041,C[C@H](N)C(=O)O,C3H7NO2,89.047678464,6,1
C00042,O=C(O)CCC(=O)O,C4H6O4,118.026608672,8,0
C00043,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,C17H27N3O17P2,607.081569664,39,11
C00044,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C10H16N5O14P3,522.9906600819999,32,6
C00045,*C(N)C(=O)O,C2H4*NO2,74.024203368,5,1
C00046,*C1O[C@H](COP(=O)(O)O[C@@H]2[C@@H](COP(=O)(O)O[C@@H]3[C@@H](COP(=O)(O)O)OC(*)[C@@H]3O)OC(*)[C@@H]2O)[C@@H](O)[C@H]1O,C15H26*3O19P3,603.0281135019999,37,14
C00047,NCCCC[C@H](N)C(=O)O,C6H14N2O2,146.105527688,10,1
C00048,O=CC(=O)O,C2H2O3,74.00039392400001,5,0
C00049,N[C@@H](CC(=O)O)C(=O)O,C4H7NO4,133.037507704,9,1
C00051,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,C10H17N3O6S,307.083806264,20,2
C00052,O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C15H24N2O17P2,566.0550205679997,36,11
C00053,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O,C10H15N5O13P2S,506.98622979999976,31,5
C00054,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O,C10H15N5O10P2,427.02941493999987,27,4
C00055,Nc1nc(=O)n([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)cc1,C9H14N3O8P,323.051851038,21,4
C00058,[H]C(=O)O,CH2O2,46.005479304,3,0
C00059,O=S(=O)(O)O,H2O4S,97.967379544,5,0
C00060,*C(=O)[O-],C*O2-,43.99037781991,3,0
C00061,Cc1cc2c(cc1C)n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)[nH]c(=O)c-1n2,C17H21N4O9P,456.104614882,31,3
C00062,N=C(N)NCCC[C@H](N)C(=O)O,C6H14N4O2,174.111675688,12,1
C00063,Nc1nc(=O)n([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)cc1,C9H16N3O14P3,482.9845120819998,29,6
C00064,NC(=O)CC[C@H](N)C(=O)O,C5H10N2O3,146.06914218,10,1
C00065,N[C@@H](CO)C(=O)O,C3H7NO3,105.042593084,7,1
C00066,*C1O[C@H](COP(=O)(O)O[C@@H]2[C@@H](COP(=O)(O)O[C@@H]3[C@@H](CO)OC(*)[C@@H]3O)OC(*)[C@@H]2O)[C@@H](O)[C@H]1O,C15H25*3O16P2,523.0617829799997,33,14
C00067,C=O,CH2O,30.010564684,2,0
C00068,Cc1nc(N)c(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)cn1,C12H19N4O7P2S+,425.04441962808994,26,1
C00069,*O,H*O,17.002739652,1,0
C00070,[Cu],Cu,62.9295975,1,0
C00071,*C([H])=O,CH*O,29.002739652,2,0
C00073,CSCC[C@H](N)C(=O)O,C5H11NO2S,149.051049592,9,1
C00074,C=C(OP(=O)(O)O)C(=O)O,C3H5O6P,167.98237451000003,10,0
C00075,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C9H15N2O15P3,483.96852766999984,29,6
C00076,[Ca+2],Ca+2,39.96149382018,1,0
C00077,NCCC[C@H](N)C(=O)O,C5H12N2O2,132.089877624,9,1
C00078,N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)O,C11H12N2O2,204.089877624,15,1
C00079,N[C@@H](Cc1ccccc1)C(=O)O,C9H11NO2,165.078978592,12,1
C00080,[H+],H+,1.00727645209,0,0
C00081,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,C10H15N4O14P3,507.9797610499998,31,6
C00082,N[C@@H](Cc1ccc(O)cc1)C(=O)O,C9H11NO3,181.073893212,13,1
C00084,CC=O,C2H4O,44.026214748,3,0
C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,C6H13O9P,260.02971862600003,16,4
C00086,NC(N)=O,CH4N2O,60.032362748,4,0
C00087,[S],S,31.972071,1,0
C00088,O=NO,HNO2,47.000728272,3,0
C00089,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,C12H22O11,342.11621152399994,23,9
C00091,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O,C25H40N7O19P3S,867.1312529500002,55,7
C00092,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,C6H13O9P,260.02971862600003,16,5
C00093,O=P(O)(O)OC[C@H](O)CO,C3H9O6P,172.013674638,10,1
C00094,O=S(O)O,H2O3S,81.97246492400001,4,0
C00095,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,C6H12O6,180.063388104,12,4
C00096,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C16H25N5O16P2,605.0771529799998,39,11
C00097,N[C@@H](CS)C(=O)O,C3H7NO2S,121.019749464,7,1
C00098,*C(N)C(=O)NC(*)C(=O)O,C4H6*2N2O3,130.037842052,9,2
C00099,NCCC(=O)O,C3H7NO2,89.047678464,6,0
C00101,Nc1nc2c(N[C@@H](CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)CN2)c(=O)[nH]1,C19H23N7O6,445.17098145599994,32,2
C00102,O=C1C(Cl)=CC(=Nc2ccc(O)cc2)C=C1Cl,C12H7Cl2NO2,266.98538382400005,17,0
C00103,O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C6H13O9P,260.02971862600003,16,5
C00104,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,C10H14N4O11P2,428.01343052799984,27,5
C00105,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C9H13N2O9P,324.03586662600003,21,4
C00106,O=c1cc[nH]c(=O)[nH]1,C4H4N2O2,112.027277368,8,0
C00107,*C(N)C(=O)NC(*)C(=O)O,C4H6*2N2O3,130.037842052,9,2
C00108,Nc1c(C(=O)O)cccc1,C7H7NO2,137.047678464,10,0
C00109,CCC(=O)C(=O)O,C4H6O3,102.031694052,7,0
C00110,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCOP(=O)(O)O,C25H45O4P,440.3055465499999,30,1
C00111,O=C(CO)COP(=O)(O)O,C3H7O6P,169.998024574,10,0
C00112,Nc1nc(=O)n([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)cc1,C9H15N3O11P2,403.0181815599999,25,5
C00113,O=C(O)c1cc(C(=O)O)c2c(n1)C(=O)C(=O)c1c-2[nH]c(C(=O)O)c1,C14H6N2O8,330.01241515199996,24,0
C00114,C[N+](C)(C)CCO,C5H14NO+,104.10699048809,7,0
C00116,OCC(O)CO,C3H8O3,92.047344116,6,0
C00117,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O,C5H11O8P,230.019153942,14,4
C00118,O=C[C@H](O)COP(=O)(O)O,C3H7O6P,169.998024574,10,1
C00119,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,C5H13O14P3,389.9518149859999,22,5
C00120,[H][C@]12CS[C@@H](CCCCC(=O)O)[C@@]1([H])NC(=O)N2,C10H16N2O3S,244.088163372,16,3
C00121,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,C5H10O5,150.05282342,10,4
C00122,O=C(O)/C=C/C(=O)O,C4H4O4,116.010958608,8,0
C00123,CC(C)C[C@H](N)C(=O)O,C6H13NO2,131.094628656,9,1
C00124,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,C6H12O6,180.063388104,12,5
C00125,*NC(=O)[C@H](CSC(C)C1=C(C)/C2=C/c3c(C(C)SC[C@H](NC(*)=O)C(=O)N*)c(C)c4/C=C5\N=C(/C=c6/c(CCC(=O)O)c(C)/c(=C/C1=N2)n6[Fe+]n43)C(CCC(=O)O)=C5C)NC(*)=O,C42H44*4FeN8O8S2+,908.20674128809,61,4
C00126,*NC(=O)[C@H](CSC(C)C1=C(C)/C2=C/c3c(C(C)SC[C@H](NC(*)=O)C(=O)N*)c(C)c4/C=C5\N=C(/C=c6/c(CCC(=O)O)c(C)/c(=C/C1=N2)n6[Fe]n43)C(CCC(=O)O)=C5C)NC(*)=O,C42H44*4FeN8O8S2,908.207289868,61,4
C00127,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,C20H32N6O12S2,612.151962464,40,4
C00128,[H][C@@]1([C@H](O)[C@H](O)CO)O[C@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)C[C@H](O)[C@H]1NC(C)=O,C20H31N4O16P,614.147267542,41,11
C00129,C=C(C)CCOP(=O)(O)OP(=O)(O)O,C5H12O7P2,246.005825984,14,1
C00130,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,C10H13N4O8P,348.04710000599994,23,4
C00131,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,C10H16N5O12P3,491.00083084199974,30,5
C00132,CO,CH4O,32.026214748,2,0
C00133,C[C@@H](N)C(=O)O,C3H7NO2,89.047678464,6,1
C00135,N[C@@H](Cc1c[nH]cn1)C(=O)O,C6H9N3O2,155.069476528,11,1
C00136,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1OP(=O)(O)O,C25H42N7O17P3S,837.1570737739999,53,7
C00137,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,C6H12O6,180.063388104,12,6
C00140,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,C8H15NO6,221.0899372,15,5
C00141,CC(C)C(=O)C(=O)O,C5H8O3,116.047344116,8,0
C00143,[H][C@]12CNc3c(c(=O)[nH]c(N)n3)N1CN(c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)C2,C20H23N7O6,457.1709814559999,33,2
C00144,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C10H14N5O8P,363.057999038,24,4
C00145,*S,H*S,32.979896032,1,0
C00147,Nc1c2nc[nH]c2ncn1,C5H5N5,135.05449516,10,0
C00148,O=C(O)[C@@H]1CCCN1,C5H9NO2,115.063328528,8,1
C00149,O=C(O)C[C@H](O)C(=O)O,C4H6O5,134.021523292,9,1
C00150,[Mo],Mo,97.9054082,1,0
C00151,*C(N)C(=O)O,C2H4*NO2,74.024203368,5,1
C00152,NC(=O)C[C@H](N)C(=O)O,C4H8N2O3,132.053492116,9,1
C00153,NC(=O)c1cccnc1,C6H6N2O,122.048012812,9,0
C00154,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1OP(=O)(O)O,C37H66N7O17P3S,1005.3448745420002,65,7
C00155,N[C@@H](CCS)C(=O)O,C4H9NO2S,135.035399528,8,1
C00156,O=C(O)c1ccc(O)cc1,C7H6O3,138.031694052,10,0
C00157,*C(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(*)=O,C10H18*2NO8P,311.07700316599994,20,2
C00158,O=C(O)CC(O)(CC(=O)O)C(=O)O,C6H8O7,192.027002596,13,0
C00159,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,C6H12O6,180.063388104,12,5
C00161,*C(=O)C(=O)O,C2H*O3,72.99256889200001,5,0
C00162,*C(=O)O,CH*O2,44.997654272,3,0
C00163,CCC(=O)O,C3H6O2,74.036779432,5,0
C00164,CC(=O)CC(=O)O,C4H6O3,102.031694052,7,0
C00165,*C(=O)OCC(CO)OC(*)=O,C5H6*2O5,146.021523292,10,1
C00166,O=C(O)C(=O)Cc1ccccc1,C9H8O3,164.04734411599998,12,0
C00167,O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C15H22N2O18P2,580.034285124,37,11
C00168,O=C(O)C(=O)CO,C3H4O4,104.010958608,7,0
C00169,NC(=O)OP(=O)(O)O,CH4NO5P,140.982708858,8,0
C00170,CSC[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1O,C11H15N5O3S,297.08956034,20,4
C00171,*C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,C5H10*O7P,213.01641429,13,4
C00172,*C1O[C@H](COP(=O)(O)O[C@@H]2[C@@H](COP(=O)(O)O[C@@H]3[C@@H](COP(=O)(O)O)OC(*)[C@@H]3O)OC(*)[C@@H]2O)[C@@H](OP(=O)(O)O)[C@H]1O,C15H27*3O22P4,682.9944440239999,41,14
C00173,*CCC(=O)S*,C3H4*2OS,87.998285748,5,0
C00174,*,*,0.0,0,0
C00175,[Co+2],Co+2,58.93209784018,1,0
C00176,*n1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21,C12H9*N4O2,241.072550528,18,0
C00177,[C-]#N,CN-,26.00362257991,2,0
C00178,Cc1c[nH]c(=O)[nH]c1=O,C5H6N2O2,126.042927432,9,0
C00179,N=C(N)NCCCCN,C5H14N4,130.121846448,9,0
C00181,OC1OC[C@@H](O)[C@H](O)[C@H]1O,C5H10O5,150.05282342,10,4
C00182,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C24H42O21,666.2218583639999,45,20
C00183,CC(C)[C@H](N)C(=O)O,C5H11NO2,117.078978592,8,1
C00184,O=C(CO)CO,C3H6O3,90.031694052,6,0
C00185,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,C12H22O11,342.11621152399994,23,10
C00186,C[C@H](O)C(=O)O,C3H6O3,90.031694052,6,1
C00187,[H][C@@]12CC=C3C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCCC(C)C,C27H46O,386.354866092,28,8
C00188,C[C@@H](O)[C@H](N)C(=O)O,C4H9NO3,119.058243148,8,2
C00189,NCCO,C2H7NO,61.052763844,4,0
C00190,O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C14H22N2O16P2,536.0444558839998,34,10
C00191,O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,C6H10O7,194.04265266,13,5
C00192,NO,H3NO,33.021463716,2,0
C00194,C/C1=C2/N([Co+]C[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)C([C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@@H](n3cnc4c3cc(C)c(C)c4)O[C@@H]2CO)[C@]2(C)N=C(/C(C)=C3\N=C(/C=C4\N=C1[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]3(C)CC(N)=O)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,C72H100CoN18O17P,1578.6583403699997,109,19
C00195,*C(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC,C19H36*NO3,326.269519012,23,2
C00196,O=C(O)c1c(O)c(O)ccc1,C7H6O4,154.026608672,11,0
C00197,O=C(O)[C@H](O)COP(=O)(O)O,C3H7O7P,185.992939194,11,1
C00198,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C6H10O6,178.04773804,12,4
C00199,O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O,C5H11O8P,230.019153942,14,2
C00200,COS(=O)(=O)[O-].C[n+]1c2ccccc2nc2ccccc21,C14H14N2O4S,306.067427928,21,0
C00201,*C1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,C5H12*O13P3,372.9490753339999,21,6
C00202,CC(C)OP(=O)(F)OC(C)C,C6H14FO3P,184.066459158,11,0
C00203,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2OC(n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O,C17H27N3O17P2,607.081569664,39,11
C00204,O=C(O)C(=O)C[C@H](O)[C@H](O)CO,C6H10O6,178.04773803999998,12,2
C00205,*,*,0.0,0,0
C00206,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1,C10H15N5O9P2,411.03450031999984,26,4
C00207,CC(C)=O,C3H6O,58.041864812,4,0
C00208,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,C12H22O11,342.11621152399994,23,10
C00209,O=C(O)C(=O)O,C2H2O4,89.995308544,6,0
C00210,*[Co+]N1/C2=C(/C)C3=N/C(=C\C4=N/C(=C(/C)C5=N[C@@](C)(C1[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)OC(*)[C@@H]1O)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O,C53H79*2CoN11O14P,1183.487752838,80,15
C00211,*C(N)C(=O)NC(*)C(=O)N1CCC[C@H]1C(=O)NC(*)C(=O)O,C11H15*3N4O5,283.10424458,20,4
C00212,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C10H13N5O4,267.096753896,19,4
C00213,CNCC(=O)O,C3H7NO2,89.047678464,6,0
C00214,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,C10H14N2O5,242.090271548,17,3
C00215,*,*,0.0,0,0
C00216,OC1OC[C@@H](O)[C@@H](O)[C@@H]1O,C5H10O5,150.05282342,10,4
C00217,N[C@H](CCC(=O)O)C(=O)O,C5H9NO4,147.053157768,10,1
C00218,CN,CH5N,31.04219916,2,0
C00219,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,C20H32O2,304.240230264,22,0
C00220,CN(C)c1cc2[s+]c3cc(N(C)C)ccc3nc2cc1.[Cl-],C16H18ClN3S,319.090996256,21,0
C00221,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,C6H12O6,180.063388104,12,5
C00222,O=CCC(=O)O,C3H4O3,88.016043988,6,0
C00223,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)cc1,C30H42N7O18P3S,913.1519883940002,59,7
C00224,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O,C10H14N5O10PS,427.0198992779998,27,5
C00225,C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-],C12H14Cl2N2,256.053403808,16,0
C00226,*CO,CH3*O,31.018389716,2,0
C00227,CC(=O)OP(=O)(O)O,C2H5O5P,139.98745989,8,0
C00229,*S,H*S,32.979896032,1,0
C00230,O=C(O)c1cc(O)c(O)cc1,C7H6O4,154.026608672,11,0
C00231,O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O,C5H11O8P,230.019153942,14,2
C00232,O=CCCC(=O)O,C4H6O3,102.031694052,7,0
C00233,CC(C)CC(=O)C(=O)O,C6H10O3,130.06299418,9,0
