id,reaction,ec,module,orthology,pathway,rclass,rhea,balanced_els_stars,balancer_failed,bool_missing_data,bool_var_list,comment,cpd_starred,flags,name,remark,smarts,CBRdb_C_ids
R03066,1 C00001 + 1 C00921 <=> 1 C00568 + 1 C01300,2.5.1.15,M00126 M00840 M00841,K00796 K13939 K13941 K18824 K18825 K18974 K24102,rn00790 rn01100 rn01240,RC00121__C00568_C00921 RC00842__C00921_C01300, 30890,True,False,False,False,,False,,"6-(hydroxymethyl)-7,8-dihydropterin:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase",,[H]O[H].Nc1nc2c(N=C(CNc3ccc(C(=O)O)cc3)CN2)c(=O)[nH]1>>Nc1ccc(C(=O)O)cc1.Nc1nc2c(N=C(CO)CN2)c(=O)[nH]1,C00001 C00568 C00921 C01300
R03067,1 C00013 + 1 C00921 <=> 1 C00568 + 1 C04807,2.5.1.15,M00126 M00840 M00841,K00796 K13939 K13941 K18824 K18825 K18974 K24102,rn00790 rn01100 rn01240,RC00121__C00568_C00921, 19952,True,False,False,False,,False,,"(7,8-dihydropterin-6-yl)methyl diphosphate:4-aminobenzoate 2-amino-4-hydroxy-7,8-dihydropteridine-6-methenyltransferase",,O=P(O)(O)OP(=O)(O)O.Nc1nc2c(N=C(CNc3ccc(C(=O)O)cc3)CN2)c(=O)[nH]1>>Nc1ccc(C(=O)O)cc1.Nc1nc2c(N=C(COP(=O)(O)OP(=O)(O)O)CN2)c(=O)[nH]1,C00013 C00568 C00921 C04807
R03069,1 C00001 + 1 C00922 <=> 1 C03652,4.2.1.85,,K20452 K20453,rn00760 rn01120,RC00843__C00922_C03652, 20256,True,False,False,False,,False,,"(2R,3S)-2,3-dimethylmalate hydro-lyase (dimethylmaleate-forming)",,[H]O[H].C/C(C(=O)O)=C(\C)C(=O)O>>C[C@H](C(=O)O)C(C)(O)C(=O)O,C00001 C00922 C03652
R03070,1 C00922 <=> 1 C02295,5.3.3.6,,K20451,rn00760 rn01120,RC00844__C00922_C02295, 23483,True,False,False,False,,False,,methylitaconate Delta2-Delta3-isomerase,,C/C(C(=O)O)=C(\C)C(=O)O>>C=C(C(=O)O)C(C)C(=O)O,C00922 C02295
R03071,1 C00001 + 1 C00088 + 2 C98995 <=> 2 C00080 + 1 C00244 + 2 C00924,1.9.6.1,M00529 M00530,K02567,rn00910 rn01100 rn01310,RC02812__C00088_C00244, 12912,True,False,False,False,nitrate reductase (cytochrome),False,,ferrocytochrome:nitrate oxidoreductase,,[H]O[H].O=NO.C=CC1=C(C)c2cc3nc(cc4c(CCC(=O)O)c(C)c(cc5[n-]c(cc1n2)c(C)c5C)[n-]4)C(CCC(=O)O)=C3C.[Fe+5]>>[H+].O=[N+]([O-])O.C=Cc1c2cc3nc(cc4[n-]c(cc5nc(cc(c1C)[n-]2)C(C)=C5CCC(=O)O)c(CCC(=O)O)c4C)C(C)=C3C.[Fe+2],C00001 C00080 C00088 C00244 C00924 C98995
R03072,1 C00019 + 1 C01739 <=> 1 C00170 + 1 C00927,2.5.1.38,M00736,K19104,rn00261 rn01100 rn01110,RC00021__C00019_C00170 RC01372__C00927_C01739, 19848,True,False,False,False,,False,,S-adenosyl-L-methionine:nocardicin-E 3-amino-3-carboxypropyltransferase,,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1O.O=C(N[C@H]1CN([C@@H](C(=O)O)c2ccc(O)cc2)C1=O)/C(=N\O)c1ccc(O)cc1>>CSC[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1O.N[C@@H](CCOc1ccc(/C(=N/O)C(=O)N[C@H]2CN([C@@H](C(=O)O)c3ccc(O)cc3)C2=O)cc1)C(=O)O,C00019 C00170 C00927 C01739
R03073,1 C00927 <=> 1 C01941,5.1.1.14,M00736,K19105,rn00261 rn01100 rn01110,RC00302__C00927_C01941, 22795,True,False,False,False,,False,,nocardicin-A epimerase; isonocardicin-A epimerase,,N[C@@H](CCOc1ccc(/C(=N/O)C(=O)N[C@H]2CN([C@@H](C(=O)O)c3ccc(O)cc3)C2=O)cc1)C(=O)O>>N[C@H](CCOc1ccc(/C(=N/O)C(=O)N[C@H]2CN([C@@H](C(=O)O)c3ccc(O)cc3)C2=O)cc1)C(=O)O,C00927 C01941
R03075,1 C00031 + 1 C00933 <=> 1 C00114 + 1 C01175,2.3.1.91,,K09756,rn00940 rn01110,RC00041__C00114_C00933 RC00055__C00031_C01175 RC02879__C00933_C01175, 12027,True,False,False,False,,False,,"1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucose:choline 1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)transferase",,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.COc1cc(/C=C/C(=O)OCC[N+](C)(C)C)cc(OC)c1O>>C[N+](C)(C)CCO.COc1c(O)c(OC)cc(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,C00031 C00114 C00933 C01175
R03077,1 C00013 + 1 C00935 <=> 1 C00075 + 1 C03906,2.7.7.64,,K12447,rn00520 rn01100 rn01250,RC00002__C00935_C03906,,True,False,False,False,,False,,UTP:beta-L-arabinose-1-phosphate uridylyltransferase,,O=P(O)(O)OP(=O)(O)O.O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3OC[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1.O=P(O)(O)O[C@H]1OC[C@H](O)[C@H](O)[C@H]1O,C00013 C00075 C00935 C03906
R03078,1 C00015 + 1 C02474 <=> 1 C02474 + 1 C18094,,,,rn00520 rn01100,RC00005__C00015_C18094 RC02748__C02474_C18094,,False,False,False,False,,True,,,,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1.*C[C@@H]1O[C@@H](OC[C@@H]2O[C@@H](O*)[C@H](O)[C@H]2O[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O>>*C[C@@H]1O[C@@H](OC[C@@H]2O[C@@H](O*)[C@H](O)[C@H]2O[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O.O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@@H](CO)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C00015 C02474 C18094
R03080,1 C00003 + 1 C02912 <=> 1 C00004 + 1 C00080 + 1 C00937,1.1.1.77,,,,RC00001__C00003_C00004 RC00099__C00937_C02912, 23875,True,False,False,False,,False,,"(R)-propane-1,2-diol:NAD+ oxidoreductase",,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@@H](O)CO>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].C[C@@H](O)C=O,C00003 C00004 C00080 C00937 C02912
R03081,1 C00022 + 1 C00937 <=> 1 C06159,4.1.2.18,,,,RC00307__C00022_C06159 RC00435__C00937_C06159,,True,False,False,False,,False,,2-dehydro-3-deoxy-D-fuconate glycolaldehyde,,CC(=O)C(=O)O.C[C@@H](O)C=O>>C[C@@H](O)[C@H](O)CC(=O)C(=O)O,C00022 C00937 C06159
R03082,1 C00003 + 1 C00051 + 1 C00937 <=> 1 C00004 + 1 C00080 + 1 C03451,,,,,RC00001__C00003_C00004 RC00004__C00051_C03451 RC00846__C00937_C03451,,True,False,False,False,"two-step reaction, similar to R06982+R06983",False,,(R)-lactaldehyde:NAD+ oxidoreductase (glutathione-formylating),,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O.C[C@@H](O)C=O>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,C00003 C00004 C00051 C00080 C00937 C03451
R03083,1 C00009 + 1 C00944 <=> 1 C04691,4.2.3.4,M00022,K01735 K13829 K13830,rn00400 rn01100 rn01110 rn01230,RC00847__C00944_C04691, 21971,True,False,False,False,multi-step reaction,False,,2-dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase (cyclyzing),,O=P(O)(O)O.O=C1C[C@@](O)(C(=O)O)C[C@@H](O)[C@@H]1O>>O=C(O)C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,C00009 C00944 C04691
R03084,1 C00001 + 1 C02637 <=> 1 C00944,4.2.1.10,M00022,K03785 K03786 K13830 K13832,rn00400 rn01100 rn01110 rn01230,RC00848__C00944_C02637, 21099,True,False,False,False,,False,,3-dehydroquinate hydro-lyase,,[H]O[H].O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1>>O=C1C[C@@](O)(C(=O)O)C[C@@H](O)[C@@H]1O,C00001 C00944 C02637
R03086,1 C00001 + 1 C00028 + 1 C03935 <=> 1 C00007 + 1 C00030 + 1 C00951,1.14.99.11,,,rn00140,RC00277__C00951_C03935, 19140,True,False,False,False,,True,,"estradiol-17beta,hydrogen-donor:oxygen oxidoreductase (6beta-hydroxylating)",,[H]O[H].*.[H][C@@]12C[C@@H](O)c3c(ccc(O)c3)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H]>>O=O.[H]*[H].[H][C@@]12CCc3c(ccc(O)c3)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H],C00001 C00007 C00028 C00030 C00951 C03935
R03088,1 C00001 + 1 C00003 + 1 C05301 <=> 1 C00004 + 1 C00007 + 1 C00080 + 1 C00951,1.14.14.1,,K07410,rn00140,RC00001__C00003_C00004 RC00046__C00951_C05301,,True,False,False,False,,False,,,,[H]O[H].NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[H][C@@]12CCc3c(cc(O)c(O)c3)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].[H][C@@]12CCc3c(ccc(O)c3)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H],C00001 C00003 C00004 C00007 C00080 C00951 C05301
R03089,1 C00001 + 1 C00006 + 1 C05141 <=> 1 C00005 + 1 C00007 + 1 C00080 + 1 C00951,1.14.14.1,,K07408,rn00140 rn01100,RC00001__C00005_C00006 RC00661__C00951_C05141,,True,False,False,False,,False,,,,[H]O[H].NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[H][C@@]12CCc3c(ccc(O)c3)[C@@]1([H])CC[C@]1(C)[C@@H](O)[C@H](O)C[C@@]21[H]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].[H][C@@]12CCc3c(ccc(O)c3)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H],C00001 C00005 C00006 C00007 C00080 C00951 C05141
R03090,1 C00001 + 1 C00006 + 1 C05301 <=> 1 C00005 + 1 C00007 + 1 C00080 + 1 C00951,1.14.14.1,,K07410,rn00140,RC00001__C00005_C00006 RC00046__C00951_C05301,,True,False,False,False,,False,,,,[H]O[H].NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[H][C@@]12CCc3c(cc(O)c(O)c3)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].[H][C@@]12CCc3c(ccc(O)c3)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H],C00001 C00005 C00006 C00007 C00080 C00951 C05301
R03091,1 C00015 + 1 C05503 <=> 1 C00167 + 1 C00951,2.4.1.17,,K00699,rn00140,RC00005__C00015_C00167 RC00171__C00951_C05503,,True,False,False,False,,False,,UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific),,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1.[H][C@@]12CCc3c(ccc(O[C@@H]4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)c3)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H]>>O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.[H][C@@]12CCc3c(ccc(O)c3)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H],C00015 C00167 C00951 C05503
R03092,1 C00007 + 1 C00954 <=> 1 C00011 + 1 C05834,,,,rn00380,RC00849__C00954_C05834,,True,False,False,False,,False,,,,O=O.O=C(O)Cc1c[nH]c2ccccc12>>O=C=O.CC1(O)C(=O)Nc2ccccc21,C00007 C00011 C00954 C05834
R03093,1 C00014 + 1 C00954 <=> 2 C00001 + 1 C02938,3.5.5.1,,K01501,rn00380 rn01100,RC00315__C00954_C02938, 45779,True,False,False,False,,False,,3-indoleacetonitrile aminohydrolase,,[H]N([H])[H].O=C(O)Cc1c[nH]c2ccccc12>>[H]O[H].N#CCc1c[nH]c2ccccc12,C00001 C00014 C00954 C02938
R03094,1 C00015 + 1 C04197 <=> 1 C00029 + 1 C00954,2.4.1.121,,,,RC00005__C00015_C00029 RC00523__C00954_C04197, 14924,True,False,False,False,,False,,UDPglucose:indole-3-acetate beta-D-glucosyltransferase,,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1.O=C(Cc1c[nH]c2c1cccc2)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O>>O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1.O=C(O)Cc1c[nH]c2ccccc12,C00015 C00029 C00954 C04197
R03095,1 C00002 + 1 C00047 + 1 C00954 <=> 1 C00008 + 1 C00009 + 1 C04211,6.3.2.20,,,,RC00002__C00002_C00008 RC00090__C00954_C04211 RC00096__C00047_C04211, 14860,True,False,False,False,,False,,indoleacetate:L-lysine ligase (ADP-forming),,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.NCCCC[C@H](N)C(=O)O.O=C(O)Cc1c[nH]c2ccccc12>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.O=P(O)(O)O.N[C@@H](CCCCNC(=O)Cc1c[nH]c2ccccc12)C(=O)O,C00002 C00008 C00009 C00047 C00954 C04211
R03096,1 C00001 + 1 C02693 <=> 1 C00014 + 1 C00954,3.5.1.- 3.5.1.4,,K01426 K21801,rn00380 rn01100,RC00010__C00954_C02693, 34374,True,False,False,False,,False,,indole-3-acetamide amidohydrolase,,[H]O[H].NC(=O)Cc1c[nH]c2ccccc12>>[H]N([H])[H].O=C(O)Cc1c[nH]c2ccccc12,C00001 C00014 C00954 C02693
R03097,1 C00007 + 1 C00954 <=> 1 C05835,1.13.11.-,,,rn00380,RC00356__C00954_C05835,,True,False,False,False,,False,,,,O=O.O=C(O)Cc1c[nH]c2ccccc12>>O=CNc1c(C(=O)CC(=O)O)cccc1,C00007 C00954 C05835
R03098,1 C00002 + 1 C00956 <=> 1 C00013 + 1 C05560,1.2.1.95,M00030,K00143,rn00300 rn01100 rn01110,RC00043__C00956_C05560,,True,False,False,False,"The first step of three-step reaction (R03098+R04863+R04390);For reverse direction, one-step reaction (see R03103)",False,,L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase; ATP:L-2-aminoadipate 6-O-adenylyltransferase,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.N[C@@H](CCCC(=O)O)C(=O)O>>O=P(O)(O)OP(=O)(O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)CCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,C00002 C00013 C00956 C05560
R03104,1 C00003 + 1 C05823 <=> 1 C00004 + 1 C00080 + 1 C00957,1.1.1.27,,K00016,rn00270 rn01100,RC00001__C00003_C00004 RC00031__C00957_C05823,,True,False,False,False,,False,,3-mercaptolactate:NAD+ oxidoreductase,,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O=C(O)[C@@H](O)CS>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].O=C(O)C(=O)CS,C00003 C00004 C00080 C00957 C05823
R03107,1 C00001 + 1 C00958 <=> 1 C00162 + 1 C04517,3.1.1.4,,,,RC00037__C00958_C04517 RC00094__C00162_C00958,,True,False,False,False,,True,,plasmenylcholine 2-acylhydrolase,,[H]O[H].*/C=C\OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(*)=O>>*C(=O)O.*/C=C\OC[C@@H](O)COP(=O)(O)OCC[N+](C)(C)C,C00001 C00162 C00958 C04517
R03109,1 C00010 + 1 C00958 <=> 1 C00040 + 1 C04517,2.3.1.25,,,rn00565,RC00004__C00010_C00040 RC00037__C00958_C04517, 10347,True,False,False,False,,True,,acyl-CoA:1-O-alk-1-enyl-glycero-3-phosphocholine 2-O-acyltransferase,,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS.*/C=C\OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(*)=O>>*C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1OP(=O)(O)O.*/C=C\OC[C@@H](O)COP(=O)(O)OCC[N+](C)(C)C,C00010 C00040 C00958 C04517
R03110,1 C00055 + 1 C00958 <=> 1 C00307 + 1 C03454,2.7.8.22,,,rn00565 rn01100,RC00002__C00055_C00307 RC00017__C00958_C03454, 36230,False,False,False,False,,True,,CDPcholine:1-alkenyl-2-acylglycerol cholinephosphotransferase,,Nc1nc(=O)n([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)cc1.*/C=C\OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(*)=O>>C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O.*/C=C\OCC(CO)OC(*)=O,C00055 C00307 C00958 C03454
R03111,1 C00019 + 1 C00961 <=> 1 C00021 + 1 C03686,2.1.1.110,M00937,K17650,rn00254 rn01100 rn01110,RC00003__C00019_C00021 RC00392__C00961_C03686, 15564,True,False,False,False,,False,,S-adenosyl-L-methionine:sterigmatocystin 8-O-methyltransferase,,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1O.[H][C@]12OC=C[C@@]1([H])c1c3oc4c(c(O)ccc4)c(=O)c3c(OC)cc1O2>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O.[H][C@]12OC=C[C@@]1([H])c1c3oc4c(c(OC)ccc4)c(=O)c3c(OC)cc1O2,C00019 C00021 C00961 C03686
R03112,1 C00019 + 1 C03683 <=> 1 C00021 + 1 C00961,2.1.1.109,M00937,K17649,rn00254 rn01100 rn01110,RC00003__C00019_C00021 RC00392__C00961_C03683, 11507,True,False,False,False,,False,,S-adenosyl-L-methionine:6-demethylsterigmatocystin 6-O-methyltransferase,,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1O.[H][C@]12OC=C[C@@]1([H])c1c3oc4c(c(O)ccc4)c(=O)c3c(O)cc1O2>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O.[H][C@]12OC=C[C@@]1([H])c1c3oc4c(c(O)ccc4)c(=O)c3c(OC)cc1O2,C00019 C00021 C00961 C03683
R03114,1 C00005 + 1 C00080 + 1 C01767 <=> 1 C00006 + 1 C00964,1.1.1.243,,K14730 K14732,rn00902 rn00903 rn01120,RC00001__C00005_C00006 RC00850__C00964_C01767, 13632,True,False,False,False,,False,,(-)-trans-carveol:NADP+ oxidoreductase,,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].C=C(C)[C@@H]1CC=C(C)C(=O)C1>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1,C00005 C00006 C00080 C00964 C01767
R03115,1 C00001 + 1 C00965 <=> 1 C00267 + 1 C00965,3.2.1.58,,K01210,,,,False,False,False,False,,True,,"1,3-beta-glucan glucohydrolase",Same as: R06078,[H]O[H].*O[C@H]1[C@H](O)[C@@H](CO)OC(*)[C@@H]1O>>OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.*O[C@H]1[C@H](O)[C@@H](CO)OC(*)[C@@H]1O,C00001 C00267 C00965
R03116,1 C00009 + 1 C00965 <=> 1 C00103 + 1 C00965,2.4.1.30 2.4.1.97,,,,, 16044,False,False,False,False,,True,,"1,3-beta-D-oligoglucan:orthophosphate alpha-D-glucosyltransferase",Same as: R06018,O=P(O)(O)O.*O[C@H]1[C@H](O)[C@@H](CO)OC(*)[C@@H]1O>>O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.*O[C@H]1[C@H](O)[C@@H](CO)OC(*)[C@@H]1O,C00009 C00103 C00965
R03118,1 C00015 + 1 C00965 <=> 1 C00029 + 1 C00965,2.4.1.34,,K00706,rn00500 rn01100,RC00005__C00015_C00029, 21479,False,False,False,False,,True,,"UDPglucose:1,3-beta-D-glucan 3-beta-D-glucosyltransferase",Same as: R06020,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1.*O[C@H]1[C@H](O)[C@@H](CO)OC(*)[C@@H]1O>>O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1.*O[C@H]1[C@H](O)[C@@H](CO)OC(*)[C@@H]1O,C00015 C00029 C00965
R03119,1 C00003 + 1 C02457 <=> 1 C00004 + 1 C00080 + 1 C00969,1.1.1.202,,K00086,rn00561,RC00001__C00003_C00004 RC00087__C00969_C02457, 23191,True,False,False,False,,False,,"propane-1,3-diol:NAD+ 1-oxidoreductase",,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.OCCCO>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].O=CCCO,C00003 C00004 C00080 C00969 C02457
R03120,1 C00025 + 1 C00972 <=> 1 C00026 + 1 C01021,2.6.1.57,,,,RC00006__C00025_C00026, 17536,True,False,False,False,,True,,aromatic-amino-acid:2-oxoglutarate aminotransferase,,N[C@@H](CCC(=O)O)C(=O)O.*CC(=O)C(=O)O>>O=C(O)CCC(=O)C(=O)O.*C[C@H](N)C(=O)O,C00025 C00026 C00972 C01021
R03121,1 C00037 + 1 C00972 <=> 1 C00048 + 1 C01021,2.6.1.60,,,,RC00006__C00972_C01021 RC00018__C00037_C00048, 10903,True,False,False,False,R=aromatic ring,True,,aromatic-amino-acid:glyoxylate aminotransferase,,NCC(=O)O.*CC(=O)C(=O)O>>O=CC(=O)O.*C[C@H](N)C(=O)O,C00037 C00048 C00972 C01021
R03122,4 C00001 + 3 C00973 <=> 4 C98926,3.2.1.54,,K01208,rn00500 rn01100,, 23983,True,False,False,False,,False,,cyclomaltodextrin dextrin-hydrolase (decyclizing),Same as: R06160,[H]O[H].OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO>>OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,C00001 C00973 C98926
